Id;Title;Artist;Year;Duo;Explicit;"Date Added";Styles;Languages
12401;Antisocial;Trust;1980;0;0;2011-12-21;Hard/Metal,Alternative,Rock;French
5113;Lucie;"Pascal Obispo";1996;0;0;2011-05-31;"French pop";French
58386;"A Whole New World";"Aladdin (2019 film)";2019;1;0;2019-06-20;"TV & movie soundtrack,Love,Duet";English
12171;"For Good";"Wicked (musical)";2003;1;0;2008-05-05;Musical,Duet;English
18352;"Separate Ways (Worlds Apart)";Journey;1983;0;0;2012-01-31;Rock;English
11991;"Qui saura";"Mike Brant";1972;0;0;2011-10-11;"French pop";French
21036;Patience;"Guns N' Roses";1989;0;1;2011-11-22;"Soft rock,Hard/Metal";English
11535;"Bless The Broken Road";"Rascal Flatts";2005;0;0;2011-05-31;Country;English
53153;"Despacito (Remix)";"Luis Fonsi";2017;0;0;2017-05-29;Pop,Latin;Spanish,English
19091;"Crazy Train";"Ozzy Osbourne";1980;0;0;2012-06-17;Hard/Metal;English
8106;L'Aziza;"Daniel Balavoine";1985;0;0;2013-11-25;"French pop,80s";French
56789;"Sweet But Psycho";"Ava Max";2018;0;0;2019-01-08;Pop;English
15991;"A Country Boy Can Survive";"Hank Williams, Jr.";1981;0;0;2012-05-02;Country;English
14618;"Two Out Of Three Ain't Bad";"Meat Loaf";1977;0;0;2011-10-29;"Soft rock";English
23530;Hallelujah;"k.d. lang";2004;0;0;2012-01-27;"Soft rock";English
8327;"Cotton Eye Joe";Rednex;1994;0;0;2011-05-30;Country,Dance;English
11188;"I Believe I Can Fly";"R. Kelly";1996;0;0;2007-05-04;"Soft rock";English
5402;"Let Me Entertain You";"Robbie Williams";1997;0;0;2008-03-31;Pop,Rock;English
59951;"Watermelon Sugar";"Harry Styles";2019;0;0;2020-01-06;Pop;English
6169;"Material Girl";Madonna;1984;0;0;2007-08-27;80s;English
6566;"Rockin' Around The Christmas Tree";"Brenda Lee";1964;0;0;2007-11-16;Christmas,Pop,Rock;English
6180;"I Left My Heart In San Francisco";"Tony Bennett";1962;0;0;2007-07-06;Oldies,Jazz;English
39303;"Interstate Love Song";"Stone Temple Pilots";1994;0;0;2014-11-09;Rock,Alternative;English
59958;"Bad Guy (with Justin Bieber)";"Billie Eilish";2019;1;0;2019-12-06;Pop,Electro,Duet;English
5408;"Hot Stuff";"Donna Summer";1979;0;0;2011-05-30;Disco,Pop;English
50276;"Fire Away";"Chris Stapleton";2015;0;0;2016-02-29;Country,Rock;English
40710;"Bohemian Rhapsody (45 edit)";Queen;1975;0;0;2013-07-25;Rock;English
9454;Heartbreaker;"Pat Benatar";1979;0;0;2011-10-19;Rock;English
11650;"La musique que j'aime";"Johnny Hallyday";1973;0;0;2014-10-07;"Blues,French pop,Rock";French
5131;"En apesanteur";Calogero;2002;0;0;2016-03-31;"French pop";French
27790;Lodi;"Creedence Clearwater Revival";1969;0;0;2012-09-02;Rock,Country;English
24331;"Rockin' Robin";"Bobby Day";1958;0;0;2011-05-30;"Rock 'n Roll,Rock";English
7303;"Take a Chance on Me";ABBA;1977;0;0;2013-02-06;Pop,Disco;English
5977;"Quelque chose de Tennessee";"Johnny Hallyday";1985;0;0;2016-06-04;"French pop";French
12186;"The Lady is a Tramp";"Frank Sinatra";1957;0;0;2007-06-11;Jazz;English
52638;"I'm Still Standing";Sing;2016;0;0;2017-02-24;"Pop,Rock,TV & movie soundtrack,Musical";English
44918;"Vivir mi vida";"Marc Anthony";2013;0;0;2014-05-27;Latin,Pop;Spanish
5525;Feel;"Robbie Williams";2002;0;0;2011-11-25;"Pop,Soft rock";English
8176;"Born To Be Alive";"Patrick Hernandez";1979;0;0;2014-02-05;Disco;English
7042;"My Way (live Elvis In Concert)";"Elvis Presley";1977;0;0;2007-08-28;"Love,Soft rock";English
54071;Havana;"Camila Cabello";2017;0;0;2017-10-05;Pop,Latin;English
58646;"Retourner là-bas";"Jean-Baptiste Guegan";2019;0;0;2019-10-09;"French pop,Country,Rock";French
58285;"An guten Tagen";"Johannes Oerding";2019;0;0;2019-06-11;Pop,Rock;German
12078;"Mademoiselle chante le blues";"Patricia Kaas";1987;0;0;2011-05-31;"French pop";French
